26,"Рода войск были разнообразны (одной пехоты шесть разных видов), слоны, несколько вариантов конницы, колесницы, разведка, снабжение, мысль и выучка войск - на недосягаемой высоте."
27,"А Пирр, кроме всего прочего, был выдающимся полководцем, талантом и профессионалом высочайшего уровня."
28,"И вот, в том же году он заключил договор о помощи с боровшейся против Рима греческой колонией Тарентом и через год высадился в на итальянском побережье с 20 тыс. солдат, 3 тыс. всадников, 2 тыс. лучников, 500 пращниками и 20 боевыми слонами. "
29,"В то время Рим был одним из конкурирующих городов-государств в Италии, который греки считали варварским. "
30,"Не самым большим, не самым сильным. "
31,"В ночь перед первой битвой, у Гераклеи, Пирр выехал в сопровождении штаба на рекогносцировку римской позиции. "
32,"Он выехал на холм и увидел внизу, в долине, образцово организованный лагерь."
33,И крепко задумался.
34,"- Кто бы они ни были, они не варвары, - сказал он своему окружению."
35,Битва вышла неожиданно тяжелой.
36,"Греки формально одержали победу (поле боя осталось за ними), но потери были очень серьезными, а римляне отступили в полном порядке."
37,"Пирр стал постепенно продвигаться на север, римляне теряли контроль над югом Италии, но кампания чрезвычайно дорого обходилась и Пирру."
38,"Римляне проигрывали сражения, но так, что греки потом с трудом приходили в себя. "
39,"Тем временем, в самом Риме от постоянных поражений возобладали анти-военные и соглашательские настроения. "
40,"Сенат, собравшийся выслушать посла Пирра, пребывал в унынии и был готов к серьезным уступкам."
41,"Он было почти единогласно постановил принять условия Пирра, как с места поднялся один пожилой сенатор, Аппий Клавдий Цек."
42,"Стоял он с трудом, его поддерживали сыновья. "
43,"- Не думал, что доживу до момента, когда Рим пойдет на соглашение с врагом, который находится на его родной земле. "
44,Сенаторы устыдились и война была продолжена. 
45,"Весной 279 года до н. э. Пирр атаковал римские колонии в Луцерии и Венузии и попытался привлечь на свою сторону самнитов. Рим тоже стал готовиться к войне, начал чеканить серебряную монету для потенциальных союзнических договоров с южноиталийскими греками и выслал на восток две консульские армии под начальством Публия Сульпиция Саверриона и Публия Деция Муса. Между Луцерией и Венузием, близ Аускула, они встретились с Пирром, который отбросил их обратно, хотя и не сумел взять римский лагерь. "
46,Бой был тяжелейший. 
47,"В армии Пирра началось брожение, и тут в руки римлян попало средство решить все проблемы одним махом - против Пирра был составлен заговор его ближайшим окружением и его врач предложил римлянам убить царя. "
48,Что сделали римляне?
49,Они рассказали о заговоре Пирру. 
50,"Когда он спросил их - зачем они это сделали, ведь им было выгодно покончить с ним таким способом, вместо того, чтобы терять своих солдат, они ответили:"
51,"- Ты столько раз побеждал нас на поле боя, что мы не приемлем иного варианта, кроме как выиграть у тебя таким же самым способом. "
52,"Несмотря на постоянные поражения, римляне не ломались."
53,"В одной из битв, они сознательно отказались занимать выгодную позицию, а выстроились, на равных с войсками Пирра, для того, чтобы одержать чистую победу. "
54,И проиграли.
55,"Через некоторое время после этого, Пирр, желая расколоть римское единство, пригласил для переговоров в свой лагерь одного из римских полководцев."
56,К организации встречи греки подошли с величайшей ответственностью. 
57,"Дело обставили грамотно, целью Пирра было смутить, поколебать и впечатлить собеседника. "
58,"Шатер был обставлен с наивысшей степенью роскоши, все в золоте, еда была запредельно изысканной, Пирр расточал комплименты и собеседнику, и римской армии в целом - и подливал, подливал, подливал.
       "
59,"
"
60,"- Это интервью с Сергеем Лещенко вчера цитировала Скабеева, назвав меня «...абсолютным злом»."
61,"Мелочь, а приятно. "
62,"И цитируют наши домашние, милые провинциальные доброхоты, разгоняя отрывок про «...президентские амбиции»."
63,Привыкайте.)
64,———
65,"Половина на украинском, половина на русском, в зависимости от вопросов зрителей:"
66,"
       "
67,"
"
68,- Пара моментов с моими высказываниями во вчерашнем «Праве на владу»:
69,- как руководство страны воспринимает кремлевское бряцание оружием на наших границах?
70,- как мы готовимся к ответу на военную опасность?
71,"- как лично я воспринимаю победную российскую пропаганду, в данном случае - в лице Павла Фельгенгауэра, которому я ответил прямо в эфире?)"
72,"
       "
73,"
"
74,- Быть или казаться?..
75,"Как часто мы боимся продемонстрировать свои настоящие чувства, предлагая людям, которые нас интересуют, некое модельное сверх-Я: призванное угадать их желания или требования общества?.."
76,"Это - очень глубокая потребность, потребность изображать, переполнившая социальную жизнь и жизненные сети, установка:"
77,- не показывай своих истинных чувств - иначе будешь осмеян и унижен.
78,"Кто из нас не переживал ситуации или страх быть высмеянным и осуждённым, за то, чем или кем он по-настоящему увлечён? За то, что по-настоящему нам важно и дорого?  "
79,"Конфликт, который нас разрывает, состоит в том, что мы одновременно хотим и предьявить своё настоящее, и спрятать его как можно дальше, чтобы его не растоптали - вместе с нами. "
80,"Это - дилемма, но дилемма приобретает особо острый резонанс, когда тот, перед кем ты изображаешь успех - твой отец, который помнит тебя маленьким мальчишкой и знает все твои тайные и слабые места. "
81,"Дауни-младший изображает преуспевающего, безжалостного адвоката и плейбоя и ему это нетрудно, потому, что он - действительно преуспевающий адвокат и плейбой."
82,"Но отец, усадивший его, родного сына, в тюрьму зелёным, 17-летним пацаном, знает его главную тайну: герой Дауни - ещё и - маленький мальчик, который в браваде наделал непоправимых, страшных вещей, искалечивших его собственную семью, потом был вытолкнут ею прочь и живет с огромной, чёрной, никогда не заживающей дырой в душе, разрываемый чувством вины, гнева и обиды на отца, которые не унять никаким успехом, реальными достижениями и силой характера. "
83,"Выдающийся драматизм этой истории заключается в том, что обстоятельства ставят отца-судью, ровно перед тем же выбором, что и сына:"
84,- быть или изображать?..
85,"Судья, ставший в маленьком городке символом чести и беспристрастия, обвиняется в преступлении, обвинительный приговор по которому, грозит отправить на помойку всю его праведную жизнь, все, во что он верил и как поступал, даже сажая в тюрьму собственного ребёнка."
86,"Сын-адвокат берётся защитить отца, применяя головоломный арсенал крутого столичного адвоката, но отец не даёт ему этого делать, последовательно делая ставку на честность и честь."
87,"Тяжелейшие моральные выборы, которые раз за разом, приходится делать Дауни-младшему, снова столкнувшись с отцовской безжалостностью и упрямством, с каждым новым эпизодом суда над судьей, увеличивают страшную дыру в его детской душе ещё больше, доводя конфликт с отцом: родственный, профессиональный, психологический до кульминации. "
88,Мы будем с вами решать на конкретном материале центральную проблему отношений человека с иными людьми:
89,- быть или казаться?..
90,"Разбирать - откуда взялся великий соблазн «казаться», как он возник, чего требует, и сколько воли и мужествам требуется, чтобы решиться быть."
91,"И Вы, войдя в этот семинар, уже не выйдете из него прежними."
92,Завтра.
93,——————
94,Регистрация на кинотренинг:
95, 
96, (українською)
97, Регистрация на кинотренинг:
98, 
99, (русский язык)
100, Контакты администратора / Контакты администратора:
101,Facebook: 
102, 
103,Email: 
104, 
105,"Телефон: +38 (063) 0680165
       "
106,"
"
107,- С Ингой Мезерей на главную тему недели.)
108,00:00​ – Вступление.
109,00:40​ – Заседание РНБО. 
110,01:13​ – Как решаются вопросы в ТКГ с представителями ДНР?
111,02:42​ – Украина останется в Минском процессе?
112,03:35​ – Будет ли полномасштабная война?
113,04:17​ – Перспективы Путина.
114,09:30​ – Как проходит заседание ТКГ на фоне накопления российских войск.
115,12:28​ – Украина выстраивает союзы с партнерами.
116,15:28​ – НАТО и альтернативные статусы партнерства.
117,17:50​ – Кто должен воевать за Украину?
118,20:44​ – Крымская группировка России.
119,23:56​ – Военные учения в Украине и России.
120,27:40​ – Зачем Байден будет встречаться с Путиным.
121,31:00​ – Путин отказался от встречи с Зеленским.
122,31:56​ – Реформа судебной системы.
123,39:07​ – Процесс принятия решений в монобольшинстве.
124,"
       "
125,"
"
126,"- Всі наші проблеми від того, що ми не слухаємо Сергія Дацюка."
127,"Він не втомлюється повторювати, що негаразди та перемоги, зліти та падіння залежать від рівня організації свідомості."
128,Пристойний рівень мислення - пристойне життя.
129,"Таке життя, як у нас - відповідний рівень «мислення»."
130,На цю тему і для відповіді на питання: 
131,"- де ключ до виходу зі становища відмови від мислення, яке ми обрали свідомо?"
132,"поговорили з одним з найрозумніших людей України Олексієм Толкачовим, автором книги «Омріяна Краіна». "
133,"До речі, варто підписатися на його канал, там йде дуже цікавий цикл програм. "
134,Тайм-коди:
135,00:00​ – Вітання.
136,00:53​ – За що Арестович може послати у фейсбуці?
137,02:26​ – Антиеволюційний тренд в Україні.
138,04:55​ – Гра дорослих в інфантильних дітей.
139,06:43​ – Який психологічний вік українського суспільства?
140,07:55​ – Чому Україна досі має шанс на майбутнє.
141,10:37​ – Люди в смартфонах перетворилися на фейсбучну республіку.
142,12:21​ – Хто потрібен для зміни ситуації в суспільстві.
143,12:47​ – Політична автаркія – шлях розвитку для України. 
144,16:11​ – Як українці застосовують методи своїх ворогів.
145,19:02​ – В чому полягає співзалежніть між людьми.
146,20:49​ – Чому не вдається організувати складне мислення українською.
147,26:01​ – Чому Арестович в команді Зеленського?
148,30:03​ – Змінити суспільство через владу.
149,34:00​ – Три завдання П’ятого проекту.
150,37:05​ – Метагештальт Київської Русі.
151,40:30​ – Як побудувати опорний клас в Україні.
152,44:15​ – Перші людени з’являться в Україні:
153,"
       "
154,"
"
155,"- Итак, страшный апокалипсис в виде «...послания Федеральному собранию» не сбылся."
156,"В небе Украины не плывут с утра косяки Су-34, и быстрые тени «Калибров», танковые армии не окружают Сумы и Киев. "
157,"Уважаемые эксперты, вытаскивайте, что у вас там дальше в запасе. "
158,"Я сейчас доедаю борщ, и снова начну волноваться.)
       "
159,"
"
160,"- Замість зловісного жаху в зверненні до Федеральних Зборів РФ, ми почули від Путіна пасивно-агресивну промову дуже ображеної та трохи переляканої людини."
161,Ключове послання для внутрішнього порядку денного - «єдність» (боїться протестів).
162,Ключове зовнішне послання - «безконфліктний світ» (боїться реального протистояння). 
163,"Нервове спирання лівою рукою на трибуну, пошук надійної опори."
164,"Переминання з ноги на ногу, відхиляння тіла назад, підсвідома спроба дистанціюватись від болючих питань."
165,"Доктрина «безконфліктно існування» означає, що РФ не тягне економічно не те, що повномасштабну війну, навіть, «просту» гонку озброєнь."
166,"Усе це брязкання зброєю - чистий стратегічний блеф, прикриття власної слабкості, розрахунок (з Китаєм за спиною), що Україна та НАТО здригнуться та дадуть задню."
167,А ми не дали.)
168,Детальніше:
169,Мої коментарі: 
170,00:00 – Гості та тема ефіру.
171,"06:53 – Досягнення на засіданні ТКГ. Промова Путіна про самозахист, а не про напад. "
172,22:04 – Нагода для України перевірити свою готовність до війни. Чому не буде нового фронту проти України.
173,52:35 – Що потрібно для втілення військової кампанії Путіна?
174,01:01:56 – Росію попередили про військову відсіч у разі нападу на Україну.
175,"01:20:41 – Які питання і справи об’єднують українських політиків.
       "
176,"
"
177,- Трохи поспілкувався з декількома темпераментними учасниками ток-шоу «Народ проти» одночасно:
178,Мої коментарі:
179,1) 00:26​ Політика Путіна; відведення російських військ.
180,2) 06:22​ Влада визнає та працює з недоліками у сфері нацбезпеки та оборони.
181,3) 15:24​ Арестович vs Михаил Чаплыга про сущность Минских договоренностей.
182,4) 18:27​ Арестович vs Надія Савченко: проблеми атовців та завдання Міністерства ветеранів.
183,5) 23:35​ Арестович vs Сергій Шахов: проблема штрафів за перетин російського кордону.
184,6) 25:40​ Чому Україна не повинна оголошувати війну Росії.
185,7) 28:16​ Арестович vs Надія Савченко: про медичний огляд на КПВВ ОРДЛОУ.
186,"8. 35:01​ Арестович vs Савченко vs Чаплига: реформування української армії.
       "
187,"
"
188,"- Вчорашний ефір на «Україна-24»: чи є, про що домовлятися президентам"
189,РФ та України?..
190,Мої коментарі:
191,00:00 Результати засідання ТКГ.
192,04:00 Російська сторона в ТКГ прагне домовитися.
193,13:11 Масштаб дипломатичного фронту та попередження для Путіна.
194,22:34 Консолідація Заходу. Відведення російських військ.
195,25:03 Очікування від зустрічі Зеленського з Путіним.
196,"40:18 Ракетний комплекс ""Нептун""."
197,49:03 Нацбезпека та оборона України потребує екстраординарних заходів. Чим цікаві навчання у Херсоні?
198,54:58 Про можливість модернізації Мінських угод.
199,59:54 Висока ймовірність зустрічі президентів.
200,"Гості студії: Володимир Гройсман, Борис Колесніков, Олексій Гончаренко, Ірина Верещук, Павло Клімкін."
201,"
       "
202,"
"
203,"- Обсудили с Людмилой Немырей на «Укрлайф» вопрос сколь вечный, столь и животрепещущий:"
204,- куда мы катимся?
205,«Мы» - это человечество в целом.
206,Как иллюстрацию взяли реакцию глобального человечества и отдельных стран/обществ на пандемию ковид.
207,Наш вывод:
208,"- долой примат институций, да здравствует Личность.)"
209,"Хотели поднять народ до элит, но по факту опустили элиты до народа. "
210,"Очень хотелось мира, в котором все равны и люди уравнены с элитами, вот и уровняли."
211,"Как вернуть иерархию компетенций? И кто эти личности, которые смогут сыграть ключевые роли в этом процессе? "
212,"
       "
213,"
"
214,- Устроили с Ингой Мезерей Politeka-live с ответами на вопросы зрителей:
215,00:00 – Приветствие.
216,00:30 – Будет ли пасхальное перемирие?
217,02:20 – Роль ОБСЕ в переговорах.
218,02:57 – Кого и когда «защитило» ядерное оружие?
219,07:00 – Слив разговора Медведчука и Суркова. 
220,11:56 – Почему Украина не может выполнить Минские соглашения?
221,12:52 – Будут ли «догонять» Порошенко?
222,14:29 – Будут ли дальнейшие санкции по Медведчуку?
223,15:35 – Сотрудничество Украины с Британией.
224,16:23 – Визит Энтони Блинкина в Украину – консультация перед встречей с Байденом.
225,19:18 – Что Путин может предложить Байдену?
226,20:15 – Готов ли Арестович заменить Мендель на должности пресс-секретаря?
227,"21:15 – Что будет, если 90% жителей ОРДЛОУ получат российские паспорта? "
228,24:27 – Реальное положение и эффективность ТКГ.
229,27:21 – Нацизм и марш националистов в Киеве.
230,30:14 – Информационная политика Офиса президента.
231,"32:56 – Что будет, если раздать гражданам Украины оружие?"
232,36:03 – Встреча Байдена с Путиным.
233,37:48 – Будет ли Украина воевать в полномасштабном конфликте?
234,40:40 – Переход украинского языка на латиницу.
235,41:07 – Состояние текущей ситуации в Беларуси.
236,44:49 – Надо ли распускать Верховную Раду Украины?
237,46:13 – Признал ли Байден геноцид армян? 
238,48:12 – Какое общество строит президент Зеленский?
239,52:40 – Как отмечать День Победы в Украине?
240,"
       "
241,"
"
242,IN NOMINE PATRIS ET FILII ET SPIRITUS SANCTI.
243,Сегодня Пасха у христиан восточного обряда. 
244,"Однажды я общался с очень хорошим человеком (исламским радикалом), на тему содержания их и нашей веры."
245, Он мне говорит:
246," - Ожесточенность нашего сопротивления миру во многом объясняется тем, что боимся потерять душу, растворенную в ""Кока-коле"" (тм)."
247,Этим объясняется и наша насторожённость и прямой запрет на спекулятивную философию и теологию.
248,"К индустриальному барьеру 1500 года, подошло шесть цивилизаций - восточно-православная, китайская, Османский халифат (шире - исламская), цивилизации Центральной и Южной Америки (ацтеки, майя, инки), индийская и западно-христианская. "
249,"Наибольшие шансы взять индустриальный барьер и создать Модерн, были у китайской цивилизации и Османского халифата."
250,Обе они к этому моменту уже совершили свои Великие географические открытия.
251,"Однако, новый мир создала цивилизация, у которой формально шансов было едва ли не меньше, чем у всех других - западно-христианская."
252,Тайна вечной силы Запада заключалась в специфике развития христианской теологии и социальной доктрины. 
253,"А тайна этих практик, в свою очередь состоит в христианской онтологии."
254,"Дело в том, что христианская онтология это онтология Абсолютного Субъекта, воплощенного в человеке."
255,"А это, в свою очередь, означает абсолютную ответственность за все, что делается, логику абсолютного действия.  "
256,Логика абсолютного действия вызывает к жизни стратегию крайностей
257, - через попытки доведение любой цивилизационной тенденции до ее абсолюта. 
258,"Если, другие цивилизации человечества пытаются разумно сочетать традицию и и прогресс, или просто противостоять прогрессу для сохранения традиции, западно-христианская цивилизационная лодка всегда закладывала галсы на крайних положениях руля."
259,"Стратегия специфическая: руль вправо - несколько десятков миллионов человек за борт, руль влево - ещё десятки миллионов. "
260,"Стратегия давала огромные возможности и выдающиеся достижения, творила новое, создавала иное. "
261,"В конце концов, «народ христианский», как столетиями называли себя европейцы, решили «...обойтись без этой гипотезы», отказались от Христа."
262,"Произошло это при Просветителях, которых когда-нибудь обязательно переименуют в Затемнителей: Разум был объявлен Божественным, а Бога (видимо, с целью убрать конкурента) обьявили «несуществующим»."
263,"Лодка поплыла по инерции, в туман заблуждений."
264,"Через триста лет, к середине 20 века Европа выдохлась. "
265,"Запад сегодня - уже не тот Запад, что брал цивилизационные барьеры один за другим: "
266,"- кволое, мягкотелое общество на грани вырождения. "
267,"Пока ещё держатся США, секрет которых как раз в повышенной религиозности большой массы народа и лидеров. "
268,"То, чего боялись мусульмане, произошло с Западом - он растворился в «Кока-коле», феминизме, популизме и всем том, от чего пытается сохранить себя исламская цивилизация."
269,Но есть тайна. 
270,"Тайна эта заключена в том, что в нашей онтологии Вечного Человека, глубоко, очень глубоко, в самом фундаменте представлений об этом мире, есть такая вещь, как Воскресение-при-этой-жизни."
271,"Мы можем позволить себе чрезвычайно рискованное поведение, венчурные стратегии, потому что мы знаем:"
272," - нас можно убить, но через три дня мы вернемся."
273,И начнем снова.
274,Воскресение принципиально выделяет нас среди других братьев по человечеству.
275,"В своих рискованных стратегиях, мы прибегли к наиболее рискованной - попытались обойтись без Бога, как такового."
276,"Но, трехсотлетний грандиозный эксперимент по отмене Бога завершается."
277,"Блудные дети уже возвращаются домой, и новое вино готово налиться в новые мехи."
278,"Мы не можем представить, как и в каком образе Вечный Человек вернется к нам снова. "
279,"Но, я знаю наверняка:"
280,"- в чем-то абсолютно новом, неожиданном, ином; в чем-то - вечно том самом, что две тысячи лет назад шел босиком горячими дорогами Иудеи. "
281,Христос воскрес и мы воскреснем. 
282,"Вечная история вечно нова и будет новая история - чтобы повториться.
       "
283,"
"
284,"- Есть у человека идеал. Есть набор ценностей, порождаемый им: ценностей и принципов."
285,"Есть жизненный поток, в котором человек плывёт. "
286,"Есть разум, отвечающий за понимание, планирование, ориентацию, действия, рефлексию."
287,"Казалось бы, нет ничего проще, чем планировать и совершать действия, ориентированные на достижение своих целей, воплощение идеала, поддерживать и развивать свои ценности своими поступками, словом - жить, выполняя своё предназначение."
288,"На деле же данная задача представляет собой грандиозную проблему, едва ли не главную для современного человека."
289,"Во-первых, мало кто мыслит ситуацию потребным образом (задача, предназначение), обычно это привилегия людей, нагруженных большими талантами, или результат верной картины мира, которую при сегодняшних трендах в воспитании, взять практически неоткуда: пусть предназначением мучаются всякие там Эйнштейны и Стравинские, а меня мать-природа создала свободным!.."
290,"Поддержка и развитие своими поступками своих ценностей - жанр, практически отсутствующий в нашей практике. "
291,"Следование своему предназначению - жанр, практически отсутствующий в нашей культуре."
292,"Между тем, нет практически ни одной (!) жизненной проблемы, которая не была бы связана с отсутствием вышеуказанной культуры, но близок локоть - да не укусишь!"
293,"Культура, в которой мы воспитаны, вставляет между человеческим разумением и человеческим предназначением непробиваемую блокирующую систему (БС)."
294,"Состоит эта система из воспитания, образования, опыта и окружения, и носит дисциплинарный характер: человека воспитывают не Личностью, но удобством, одним из многих других удобств вокруг."
295,"В результате, первичная моральная-волевая структура, лежащая в глубине души человека, импульсы добра и красоты, своего (!) понимания мира и своей (!) принципиальности просто не могут дойти до поверхности, реализоваться в жизненном потоке в виде его конкретных поступков и целей."
